评论数,阅读数,时间,标题,内容
24,14967,2017-06-18,17.06.18：除了,"
                            
                            超级绩优股、未来成长性好的股票外，其它业绩般般股、垃圾股仍处在C浪中。 
                        "
4,1134,2017-12-12,西湖的水，你的泪～你情愿化作一团韭菜，啊～啊,"
                            
                            西湖的水，你的泪～你情愿化作一团韭菜，啊～啊～啊，啊～啊～啊～，洞洞呛，洞洞呛，嘿哈嚯！
"
540,79442,2017-12-12,孩子出生姓麦求大神赐名、感谢啦,"
                            
                            孩子出生姓麦求大神赐名、感谢啦 
"
831,271217,2017-06-16,最近，很多人在抨击新股快速发行。这些人无非是,"
                            
                            最近，很多人在抨击新股快速发行。这些人无非是想让腐蚀的变态的高估值市场继续苟延残喘而已，让贪婪的大小非和投机者继续割韭菜而己，在这点上，坚决站在刘主席一边，坚决支持快速发行新股同时严控定增打击借壳。2017是中国决胜之年，必须以壮士断腕的勇气，迎击挑战。中国股市最大的矛盾就是供给不足的矛盾，这个矛盾必须解决。创业板深受供给不足之害，公司各个贵的没谱，企业家不思实干，苦心钻营自炒股票。投资人击鼓传花，以赌博为乐。是该醒醒了。新股发行必须正常化以此达到破解由于股票发行审核制造成的公司上市稀缺性带来的二级市场溢价，二级市场溢价消失了大小非减持压力自动化解！同时需要强化垃圾股退市的执行力度、严厉打击上市公司造假与违规行为！如此中国资本市场将会成为中国经济发展引擎推动中国经济发展达到新的高度！ 
                        "
56,31322,2017-08-27,融资客决战指数牛系列！历史总是惊人的相似！目,"
                            
                            融资客决战指数牛系列！历史总是惊人的相似！目前看来大盘在复制1999年5月19日至2001年6月的人造牛市！新的周期打开了自2638以来已经上涨385个交易日成功突破377的周期压力看来要涨610个交易日了！12个月的牛市主升浪启动！满仓加杠杆干大行情！超级规模的M2造就价值投资牛市！创业板见底反转！大盘第一目标剑指3600点、第二目标剑指4500点、终极目标剑指9200！截止2017年8月25日上证50流通市值13.2万亿、上证流通市值27.3万亿，大金融板块9.5万亿！意味着控制住上证50就控制住上证百分之五十的流通盘！而主力基本是全控上证50！这样看来这次牛市完全在主力可控范围内、牛市是可以持续的！银行、保险、有色、钢铁、煤炭、证券、中小创蓝筹股已经形成有效轮动！上证50会继续翻倍，不跟随国家队的投资者会在这轮牛市中踏空蓝筹股行情后由于时间的消耗与货币的贬值被市场消失！美股曾经去散户化就是这样的过程！ 
"
135,63711,2017-09-03,新股与次新股火爆上涨反应出目前我国资本市场的,"
                            
                            新股与次新股火爆上涨反应出目前我国资本市场的主要矛盾是人民群众快速增长的投资需求与资本市场股票供给严重不足之间的矛盾，应当响应市场需求加快新股发行速度！让凯撒归凯撒市场归市场！新股发行市场化与资本市场依法从严监管两手都要抓两手都要硬！新股发行市场化可以助力资本市场惩恶扬善形成良币驱逐劣币的风气！最近，很多人在抨击新股快速发行。这些人无非是想让腐蚀的变态的高估值市场继续苟延残喘而已，让贪婪的大小非和投机者继续割韭菜而己，在这点上，坚决站在刘主席一边，坚决支持快速发行新股同时严控定增打击借壳。2017是中国决胜之年，必须以壮士断腕的勇气，迎击挑战。中国股市最大的矛盾就是供给不足的矛盾，这个矛盾必须解决。创业板深受供给不足之害，公司各个贵的没谱，企业家不思实干，苦心钻营自炒股票。投资人击鼓传花，以赌博为乐。是该醒醒了。新股发行必须正常化以此达到破解由于股票发行审核制造成的公司上市稀缺性带来的二级市场溢价，二级市场溢价消失了大小非减持压力自动化解！同时需要强化垃圾股退市的执行力度、严厉打击上市公司造假与违规行为！如此中国资本市场将会成为中国经济发展引擎推动中国经济发展达到新的高度！ 
"
72,46934,2017-09-05,历史不会重演，但总会有惊人的相似！目前看来大,"
                            
                            历史不会重演，但总会有惊人的相似！目前看来大盘在复制1999年5月19日至2001年6月的人造牛市！要从正能量的方向去理解国家队控盘,这是在有目的地在引导牛市,引导场外资金入市,做到国家和个人的多赢,最后把外资吸进来,形成国际牛,那才是中国全体的整体大胜!大盘第一目标剑指3600点，第二目标剑指4500点，终极目标9200点！ 
"
155,96794,2017-06-24,历史总是惊人的相似！目前看来大盘在复制1999年,"
                            
                            历史总是惊人的相似！目前看来大盘在复制1999年5月19日至2001年6月的人造牛市！可怜的傻逼散户的共同特点：底部区域给自己找出N条卖出理由，顶部区域给自己找出N条买进理由！积极抓住资本市场供给侧改革的大好机遇！519暴涨行情只会推迟不会缺席！坚决定投买在史诗级大水牛的初期！2017年撸起袖子加油干漂亮牛！宿命与反抗！当前我国资本市场的主要矛盾是人民群众快速增长的投资需求与资本市场股票供给严重不足之间的矛盾，加快新股供给速度是股市与经济健康发展以及解决人民群众内部矛盾的必由之路！GJD要发行新股就必须拉指数上涨，拉指数上涨就必须拉业绩优秀的蓝筹股票上涨！定投买在底部区域，目前3150点向上空间有6000点，不行就抱三年不动这期间股市机会会大于楼市机会，战略性建仓机会来临，干！可悲、可叹！当散户再也不相信牛市的时候，牛市已经悄然的开始了！2007年12月货币M2为约40万亿上证指数最高6124点，2017年5月货币M2约160万亿上证指数3150点！ZF计划将2017年广义货币供应量（M2）增速目标12%左右！一个史诗级的大水牛！ 
"
664,226935,2017-07-12,再论韩志国！江山易改本性难移，狗改不了吃屎！,"
                            
                            再论韩志国！江山易改本性难移，狗改不了吃屎！查看历史数据韩志国要么在高位疯狂唱多自造乐观气氛忽悠散户高位接盘、要么在低位疯狂唱空自造恐慌气氛忽悠散户底部割肉！韩志国这次就是忽悠散户底部割肉的！韩自国是什么样的经济学家？1、2007年8月23日，深市的市盈率66.67倍，沪市的市盈率57.05倍。韩志国当日在上海证券报发文《为什么说5000点中国股市比1000点更健康?》，并列出八大理由，称中国股市的牛市进程就必然无可避免地持续下去，无论是格林斯潘、巴菲特还是李嘉诚都无法改变这种趋势。后来股市跌到1664点。在2007年9月以前发表在博客的文章中，牛市、再创新高、政策利好等看多主张频频出现，且语言激昂，标题振奋人心，大有为中国股市摇旗呐喊之势。《中国股市不会崩盘也不会逆转》、《股市再创新高已经为期不远》等多篇文章的单篇阅读量都超过了20万次，大批拥趸汇聚于此，力挺韩志国。有人甚至激动地喊出：韩志国是“民族的脊梁”、“指引中国资本市场健康发展的旗手”，“韩老师应该入选今年的感动中国”。2、2008年10月28日，上证指数跌至1664点。这位“牛市鼓吹手”悄然改弦更张。2008年3月,韩志国的思维出现了大跳跃:《五重压力将压垮中国股市》、《三大主因导致市场崩盘》等连篇累牍的长篇分析现身其博客。9月12日,他说“不救市就会滑向万丈深渊”。在9月18日政府推出强有力救市措施后,他提出,“A股在经历了短期调整以后,就很可能会继续步入跌势,大规模破发、大规模破净、大规模破1元的走势就很可能到来”;10月29日,他又抛出了悲观的“千点论”,坚信大小非问题不解决,股市或将跌破千点,（请注意上证指数跌至1664历史大底的日期是10月28日，韩预期跌破1000是10月29日，反指反到不服不行）竟然与当年的许小年同出一辙。韩说完破1000点的观点，股市第二天调头向上，一口气涨至3478点。2009年3月3日预言金融危机第二波来临。当然当年我们的大校同志也没休息，7月28日，在郑州的一个论坛上，李大霄提及自己“钻石底”的观点，表示他并没有放弃。大校认为2000点是钻石底。（相对靠谱）3、2012年12月04日，上证指数1949点。经济学家韩志国先生公开言论说：""对股市现在是空前悲观 ，1664点必破，可能要到1500点""，对此邹涛认为其言论经媒体传播后会严重影响公众，特向韩志国发出挑战称：本人(邹涛)特邀请韩先生各拿10万元打个赌，如果A股跌破1500点到1499点，我捐出10万元做公益，如果没有跌破，请韩先生捐出10万元做公益。后来几经升级，其赌注也由10万元加至150万元。2012年指数的最低是1949点，著名的解放底，2013年暴发钱慌，最底1849点，都是盘中，正常都在2000点以上。没有破1664点，更不用说1500点。4.2017年5月24日，上证指数最低点位3022点。2017年5月19日至5月24日，连续发文主要批评证监会发新股， 新股审批不能夹带私货 股市不能大跃进 ，5月25日上证指数怒涨43点，1.43%，金融蓝筹股全面爆发，浦发银行涨停，中国平安涨5.72%。从上述剖析足可以说明，其实韩志国与郎咸平有着共同的存在思维，那就是利用大肆发布恐怖式、口号式言论的方式，让本来就已经内心充满无限恐惧的网民们不断受到震撼，并将恐惧转为愤怒，以其言论为突破口，形成有利于支持他的最终结果。但客观的说，他的这些观点除了具有炒作和争议性之外，对股民的投资毫无参鉴价值！从其年龄上看，韩志国先生今年应该50岁出头，经历过几轮牛熊，为何以前没有受到高层的待见呢？下面第二方面的分析大家或许可以看出端倪……最后，如果用一句话来评价韩志国同志的形象，个人觉得，他就是一位活跃在经济学领域的著名编剧！ 
                        "
230,82486,2017-07-16,超级规模的M2造就一个史诗级蓝筹股价值投资大水,"
                            
                            超级规模的M2造就一个史诗级蓝筹股价值投资大水牛在进行中ing（2007年12月货币M2为约40万亿上证指数最高6124点，2017年6月货币M2约163万亿上证指数3200点）！截止2017年7月12日上证50流通市值12.7万亿、上证流通市值25.8万亿，大金融板块8.9万亿！意味着控制住上证50就控制住上证百分之五十的流通盘！而主力基本是全控上证50！这样看来这次牛市完全在主力可控范围内、牛市是可以持续的！ 
"
40,10808,2017-12-29,"告别悲催一七,拥抱绚烂一八:581计划第一年(1)","
                            
                            年底了,终于告别了2017!股票和期指投资,今年合计亏损56.1万,亏损率23.47%!按月计算如下:1月 平2月 亏损18.2万3月 亏损 9.8万，年亏28万4月 赢利 2.4万，年亏25.6万5月 赢利 0.6万，年亏25万6月 亏损 16万，年亏41万7月 亏3.2万，年亏44.2万8月 亏3.5万，年亏47.7万9月 利2.7 万，年亏45万10月 亏5k, 年亏45.5万11月 亏17w, 年亏62.5w12月 利6.4w,年亏56.1w! 
                        "
46,11772,2017-12-12,真牛掰...,"
                            
                            12月12日建设资本市场强国...图说：早有预见，呵、真牛掰...------ 
"
2,362,2017-12-06,说好的3600呢！ 你们骗我！,"
                            
                            说好的3600呢！ 你们骗我！ 说好的3600呢！ 你们骗我！ 说好的3600呢！ 你们骗我！ 说好的3600呢！ 你们骗我！ 说好的3600呢！ 你们骗我！ 说好的3600呢！ 你们骗我！ 说好的3600呢！ 你们骗我！ 
                        "
1,1203,2017-12-25,新华社：机构已主导A股行情 广大散户正逐步退出,"
                            
                            【新华社：机构已主导A股行情 广大散户正逐步退出市场】A股2017年行情即将收官。总体而言，在存量资金下，A股表现出明显的分化特征：蓝筹白马股牛市，以上证50为代表，全年涨幅超过20%；估值不具优势的小盘股熊市，以中证1000为代表，全年跌幅超15%。市场分析人士认为，这背后反映出A股主导力量发生了改变：机构已主导A股行情，主流资金越来越具话语权，而广大散户正在逐步退出市场，流动性差、低成交量个股正大批涌现。 
                        "
5,2213,2017-05-25,强势涨停机构游资敢死队疯狂抢筹低市盈率高净资,"
强势涨停机构游资敢死队疯狂抢筹低市盈率高净资产暴涨飙升次新超级大黑马*上海银行*杭州银行
"
235,81051,2017-11-17,人气最高的帖子，删除了，我又发出来了[献花]我,"
                            
                            人气最高的帖子，删除了，我又发出来了我司马懿马哥黎明按时啼叫一一一眼力，是一个人分析，观察，思考问题的眼光和视角，玩股只有去找到支撑点，快速果断才能将操盘手捕捉，用计算才能抢占制高点，股票学习放得下，就叫修炼，只有经常反省自已，才能准确定位。司马懿马哥准准准 
"
9,4032,2017-12-14,美元加息美国资本回流。经济复苏。美国的股市是,"
                            
                            美元加息美国资本回流。经济复苏。美国的股市是跟经济挂钩的。所以加息美股上涨。而中国加息是被动加息，资本已经外逃，因为中国的股市跟经济不挂钩。一旦加息，外逃不了的资本或是存量资本。就会进入银行国债吃稳定利息，中国股市就会大蝶。 
                        "
2,947,2017-12-26,霸天怎么不预测了？,"
                            
                            霸天怎么不预测了？ 
                        "
10,6752,2017-11-10,QFII大宗交易扫货蓝筹股,"
                            
                            QFII大宗交易扫货蓝筹股 
                        "
11,5585,2017-11-10,五连阳唱响A股牛市进行曲,"
                            
                            五连阳唱响A股牛市进行曲 
                        "
16,19030,2017-11-10,下周，股市将这样走！上涨继续,"
                            
                            下周，股市将这样走！上涨继续 
                        "
10,6324,2017-11-11,全球股市狂欢下的A股投资思路,"
                            
                            全球股市狂欢下的A股投资思路 
                        "
10,5469,2017-11-11,国际接轨中国资本市场的春天正在来临,"
                            
                            国际接轨中国资本市场的春天正在来临 
                        "
17,6414,2017-11-11,扩大境内外资本市场互联互通 国际接轨T+O,"
                            
                            扩大境内外资本市场互联互通 国际接轨T+O 
                        "
11,4230,2017-11-11,进一步扩大境内外资本市场互联互通国际接轨,"
                            
                            进一步扩大境内外资本市场互联互通国际接轨 
                        "
16,4259,2017-11-11,扩大境内外资本市场互联互通 国际接轨T+O交易,"
                            
                            扩大境内外资本市场互联互通 国际接轨T+O交易 
                        "
17,4706,2017-11-11,扩大境内外资本市场互联互通 支持国际接轨T+O交,"
                            
                            扩大境内外资本市场互联互通 支持国际接轨T+O交易 
                        "
41,27129,2017-09-12,上联 白天防IPO打压股市 晚上看欧美股市暴涨 求,"
                            
                            上联 白天防IPO打压股市 晚上看欧美股市暴涨 求下联横批 
                        "
76,27198,2017-09-15,现在开始评选上证名人 希望大家踊跃参与,"
                            
                            现在开始评选上证名人 希望大家踊跃参与 
                        "
31,24719,2017-09-11,粉红色K线 迷人的大盘,"
                            
                            粉红色K线 迷人的大盘 
                        "
28,21902,2017-09-11,浅蓝色的天空 迷离的眼神,"
                            
                            浅蓝色的天空 迷离的眼神 
                        "
36,25749,2017-09-11,苍天笑，纷纷世上潮  谁负谁胜出天知晓,"
                            
                            苍天笑，纷纷世上潮 谁负谁胜出天知晓 
                        "
852,178107,2017-02-17,总有一首歌让你肝肠寸断 不知从何时起，我特别,"
                            
                            总有一首歌让你肝肠寸断不知从何时起，我特别喜欢听悲伤的歌。越悲越好。最好让人听得肝肠寸断，魂飞魄散。自己也在想，我这是为什么呢？是身孱多疾苦的感伤？还是落花人独立的悲凉？是感时花溅泪的多愁？还是恨别鸟惊心的幽怨？前一段，我终于找到了那首最悲的歌，严丝合缝地呼应了我当时的心境，宣泄了我蓄积己久的悲情。那天，我一如往常地把电视锁定在东方卫视，无意中邂逅了《天籁之战》，平民歌手杨子便象预订好了一样，背着一把吉他如约而至。一曲改编版的《一生所爱》，唱得痛彻心腑，让人听了肝肠寸断，心碎不己，禁不住泪流满面……现把歌词呈上，与大家共享，谁有更悲伤的歌？我愿闻其详。昨天 今天 过去不再回来红颜落下颜色变苍白从前直到现在爱还在愿去等你飘泊白云外情人离去 永远不再回来无言无语 叹息爱不在虽然花会零落但会重开恍如隔世的爱在白云外痛爱让人悲哀在世上 命运不能更改放开 不能再相爱难道这是上天的安排情人离去永远不再回来无言无语 叹息爱不在虽然花会零落但会重开恍如隔世的爱在白云外痛爱 让人悲哀在世上命运不能更改放开 不能再相爱难道这是上天的安排痛爱 让人悲哀在世上命运不能更改放开 不能再相爱难道这是上天的安排难道这是上天的安排 
                        "
26,15561,2017-10-24,帝妖：IPO,"

"
8,9740,2017-12-17,一万家新三板？？？转入创业板？？？[大笑][大,"
                            
                            一万家新三板？？？转入创业板？？？
"
46,6818,2017-03-16,强势涨停机构游资敢死队疯狂抢筹高送转暴涨次新,"
强势涨停机构游资敢死队疯狂抢筹高送转暴涨次新大黑马*思特奇*泛微网络*同兴达
"
137,40849,2017-12-10,失败的教训和成功的经验都是是我们的财富,"
                            
                            学习一直在路上. 
"
107,30371,2017-11-18,股市允许波动，一言不合就开跌，股市有风险，入,"
                            
                            股市允许波动，一言不合就开跌，股市有风险，入市需小心，一片倒下，一片又起，开不完的股市，割不完的韭菜，虽然不是整体大起大落，但个股依旧是这个规律，先跌到位的先拉
"
68,24044,2017-03-18,再见,"
                            
                            不想来了 
                        "
14,3290,2017-06-27,拔河比赛,"

"
4,2689,2017-12-31,17.12.31: 2018年,"
                            
                            1.依然是忽略指数研判个股的行情2.由于融资杠杆所限，不会出现大面积上涨的行情。即不单是2018年，未来两年或许只有牛股、阶段上涨股，不会出现牛市3.利好政策除外 
                        "
77,55236,2017-12-10,2017年12月指数的大概走势放分析,"
                            
                            青岛陈大哥 影响力 吧龄 2.7年 发表于 2017-11-24 10:00:09 股吧网页版V认证举报根据近期上证走势重新确定方向 上面都是11月初分析走势，从近期创业板的走势看，开始走双底形态，我在9月左右提示过创业板年底前不能参与，最多就是个短线行情，创业板开始下跌，上证跟中小板也会相对进入一个大箱体的横盘过程，从现在开始，预计箱体横盘会持续三个月时间，3450-3300之间，总体来说会持续到春节后，春节后创业板也相对底部开始形成，三个指数如果在年后产生共振形态，节后行情就会有新的开始，希望会走出1998年的行情。最近几个月如果指数箱体运行，要学会操作高抛低吸，不断的降低成本，等待下一个行情的到来。本周大盘跌破3300点，我在周五已经把盈利的都清仓了，下周大概率是一个再次下跌后止跌过程，基本也是大周期的底部，下周周末如果指数上收红盘，那阶段性底部就成立了，在个股上如果是前期持续底部横盘的股票继续持股吧，经过下周止跌后，大盘会持续反弹一段时间，可能会持续到进腊月。 
                        "
30,14451,2017-12-02,"悲催的2017,提前启动851计划","
                            
                            今年特大悲催！年初269万，每月提还房贷二万五，今年的30万全部提出。11月底，市值还剩170多万！ 之所以亏这么多，一大部分做了期指。今年完全不在节奏，买了就跌，空了就涨！手里持有九百和丽江，哔哔的跌；同期持有的沪深300空单勇猛的涨！终于前些天扛不住割了冷净一段时间，然后就狂泻不止！ 这个悲催！然后买入再挨1刀!15年高峰到现在亏了400万！！！ 唯一可以自慰的是目前的170多万正好是这些年来股市里的赢利 俗话说，出来混总是要还的 然而，这么多年的浸淫在股市，多少的机会成本丢了！ 不信春风换不回！ 已经制定了未来三年的赢利计划，愿和韭菜们共同前进…………851计划：明年干到500，后年800，20年1000！ 后年是老婆退休之年，几年前就诺过，等伊退休，需到千万！ 近两年走了多少的弯路！ 透露下，咱的851计划并非毫无依据 基于一个假设：现手里除了倒霉的九百和丽江，尚有30万股的000629，假设明年复牌能带来200万的收益！其他的100多就靠现在开始到18年㡳实实在的操作了！ 先这样想着吧，要不然没TMD活了！1月 平2月 亏损18.2万3月 亏损 9.8万，年亏28万4月 赢利 2.4万，年亏25.6万5月 赢利 0.6万，年亏25万6月 亏损 16万，年亏41万7月 亏3.2万，年亏44.2万8月 亏3.5万，年亏47.7万9月 利2.7 万，年亏45万10月 亏5k, 年亏45.5万11月 亏17w, 年亏62.5w今年的大尺度亏损,是投资以来最惨的1年!　期待明年回报是最为丰厚的１年!话说,　尽管够惨,　比起１５年曾经１天巨亏８０万的日子,　也就淡然了!人生,　一段旅程而已!坦然面对喽......... 
                        "
41,17376,2017-11-18,发张图吧看，好吧！,"
                            
                            11月18日图说：大哥，给跪了！收俺为徒吧...，------ 
"
29,16809,2017-09-11,吃羊蛋的快顶帖,"
                            
                            吃羊蛋的快顶帖 
                        "
77,36915,2017-09-01,由于许多股民脑壳好昏，南山翁皇狐红尘在天堂湖,"
                            
                            由于许多股民脑壳好昏，南山翁皇狐红尘在天堂湖设道埸，由帝妖、股不仙持林蒲快盘。只见天空有小风筝飘过。大家正低头看天，威震霸天携神剑杀来：疯狂一回是红颜之命！大买办见状力劝：炒股如歌唱，不必挨家巡视.忽听洪营长报：我是小白也前来做渔歌互答。见其左持绿色的橄揽枝，右握焦骨牡丹，扮象如幸福女神雅典娜，长象好似蛊民贱二.天色见暗，面点师发话：亚夏鸡大多劳，上西红柿子蕃茄子，品梁山豆浆茅台粮液，继续盘口话语，大盘分析，财经评论888！ 
                        "
72,32267,2017-09-01,面点师发话：亚夏鸡大多劳，上西红柿子蕃茄子，,"
                            
                            由于许多股民脑壳好昏，南山翁皇狐红尘东海鹏在天堂湖设道埸，由帝妖、股不仙持林蒲快盘。只见天空小风筝飘过。大家正低头看天，威震霸天携神剑杀来：疯狂一回红颜之命！大买办见状力劝：炒股如歌唱，不必挨家巡视.忽听洪营长报：我是小白也前来做渔歌互答。见其左持绿色的橄揽枝，右握焦骨牡丹，扮象如幸福女神雅典娜，长象好似蛊民贱二.天色见暗，面点师发话：亚夏鸡大多劳，上西红柿子蕃茄子，品梁山豆浆，继续盘口话语，大盘分析，财经评论888！ 
                        "
48,25261,2017-09-03,经过多年评选本吧高手有红尘 无为 牡丹 盘口 星,"
                            
                            经过多年评选本吧高手有红尘 无为 牡丹 盘口 星探 掘金 
                        "
8,1633,2017-11-17,咯咯咯咯 狂笑 瞎子狂笑 市值270亿 利润冲百亿 ,"
                            
                            咯咯咯咯咯 狂笑 瞎子狂笑 市值270亿 利润冲百亿 晨鸣纸业 000488。 狂笑 可暴涨5倍 市值仅270亿，全年利润有望冲百亿，明年150亿？。 前三年业绩都翻倍。 市值270亿，前三季实际利润57亿，全年有望利润冲击百亿。 明年有望冲击150亿？辽宁镁矿储量3800万吨，价值7000亿，200万亩自有林600万亩合作丰速生林价值一旦重估至少价值千亿。晨鸣纸业（000488）17元买入，明年6月分红绝对收益6%，年化收益率12％左右 ，为低价定增作最后打压脑子不要进水！单淡季三季利已超32亿，照此速度明年利润超150亿？。 三季报表每股0.41元，应收票据贴隐瞒利润24亿元。 今年底镁矿投产赶上镁价暴涨，明年山东本部50万吨投产，湖北黄岗一期投产，又将为公司创造天量利润，今年十月纸价又二次大幅提价，在大环保压力下中小纸企纷纷关门，今后多年纸价将保持极高的景气度，去年毛利达惊人的83％的公司融资租赁去年创净利10亿元，今年又将大幅提升三季报后券商们纷纷在20元附近给出买入增持，安信给出6个月目标价25.8元 
                        "
1,870,2017-11-03,补缺,"
                            
                            看来大盘今天下午要奔着补缺口去了。（3357.01-3357.28） 
                        "
88,48418,2017-11-23,这个帖子，删除了，几万战友看，谢谢[献花][献,"
                            
                            这个帖子，删除了，几万战友看，谢谢2000年我买中关村，一秒钟买下，经历无数次伤痛，亏钱的代价，我退出去股市几年，又来到股市，一瞬间长大，我看破庄家，走进了操盘手心里，成为了股市心学一代宗师，我喊出，我买就涨，卖就跌，卖就调的口号，我的计算超越时空，快人一步。准准准，准确无误差。 
"
120,46413,2017-06-22,资本市场供给侧改革：拉升蓝筹股拉指数发新股！,"
                            
                            资本市场供给侧改革：拉升蓝筹股拉指数发新股！并且会持续几年以上！上证50还要翻倍！散户可能在踏空蓝筹股行情后由于时间的消耗与货币的贬值被市场消失！这种现象曾经在美股出现过，美股去散户化就是在这个过程中把散户彻底打败！ 
"
50,32532,2017-08-16,当下炒股致胜格言：炒股要听国家队话、跟着国家,"
                            
                            当下炒股致胜格言：炒股要听国家队话、跟着国家队走吃喝啥都有！现在炒股就是要押宝、压中国家队重点布局拉升的龙头股票就会发财！重点布局东方财富有望复制科大讯飞成为国家队拉升龙头！满仓加杠杆静待国家队拉升！ 
"
9,3346,2017-12-27,房地产坠落之际，就是股票腾飞之时,"
                            
                            房地产金融加杠杆，堪比郁金香泡沫。只有房地产降价之时，才是股票买入和上涨的时候。 
                        "
126,46376,2017-12-01,（新的）黄国东：慢牛仍然继续 不用担心大盘,"
                            
                            记者：我代表微网财经欢迎您回归，这段时间您的离开，很多股民都极为思念。现阶段大盘又失去方向，许多专家都说上证指数现在是头部特征，将进入调整周期。黄国东：感谢大家对我的关心和厚爱，离开这两个月我学会了很多，也见识了许多新鲜事物。真是走万里路胜读十年书。记者：您先聊一聊大盘吧。黄国东：好的，上证指数目前的确是有一个阶段性的头部，从技术上看看有周线级别的调整可能，调整的支持位也在3300点。这些技术上的形态大家都看得出来。我近日在反思一些问题，在中国的股市里面，我们这些所谓的技术专家到底有没有用？技术的门类太多太杂，当我们迷茫时正是我们重新审视市场重新审视技术的可靠性的时候。这些日子我得出了结果就是不要迷恋于技术，中国股市一旦走出慢牛行情将是所有技术失真的时候。记者：记得您说过创业板牛市结束，后面几年都不会有大行情，现在是否还是维持当初的判定？黄国东：创业板在2015年透支太多利润空间，一旦业绩跟不上将会走出几年的熊市行情或底部震荡行情。唯一能改善的方法就是上市公司的基本面不断改善优质公司数量增加。所以创业板里面的公司大部份都不会有大行情。只有少数股票具备投资价值。记者：今年年初您推荐的投资组合和股票都大涨特涨，您为什么这么牛？（笑）黄国东：我本来就推崇价值投资。中国三十年的证券市场也到了改变的时候了。炒题材炒高送转借壳等都不会再如以前那么流行。思路 一定要以改变，否则很难在股市里面生存。记者： 展望明年，您是否有什么新打算？黄国东：过去几年我的推荐都是收费的，相关公司和个人合作都非常愉快。为了更好的服务社会，引导理性投资。我将在2018年正式推出以我命名的‘国东50指数和成份股’。到时候朋友们只要与我一起坚持价值投资，从我的‘国东50’中寻找股票来做便可以跑过大市，‘国东50的’指数和成份股都是免费和公开的。这也是我为大家做的一份公益事业。 
                        "
10,5188,2017-12-29,17.12.29：让数据说话,"
                            
                            两年后的对比：2016年01月08日：待上会716家2017年12月29日：待上会696家2017年可是发行创纪录的一年！. 
"
8,7952,2017-12-05,别看现在上证50拉得欢，小心明年小公司质押的股,"
                            
                            别看现在上证50拉得欢，小心明年小公司质押的股票让四大银行全部倒闭，那时候看你咋样拉
"
60,25413,2017-09-05,霍敏减儿 被评为第一名,"

"
42,24233,2017-09-09,偷鸡小伞是蛊民贱二,"
                            
                            偷鸡小伞是蛊民贱二 
                        "
36,24283,2017-09-09,偷鸡小伞是蛊民贱二,"
                            
                            偷鸡小伞是蛊民贱二 
                        "
18,5031,2017-04-24,勇敢者的游戏！买入,"
                            
                            勇敢者的游戏！买入 
                        "
296,144985,2017-11-28,28日起V形主升浪一直涨到3650,"
                            
                            大喇叭形上升中继平台，世界上只有首席知道，是一种主力超级洗盘手法：1凶悍快速2.调仓换股3.后面是一波V形主升浪。不懂的人迅速亏损、恐惧、尿裤子、意淫。。大喇叭形：上口，10月27日高点与11月13日高点连线。下口，10月30日低点与11月3日低点连线，至今天3300.6-8-10天V形转先封闭喇叭口再新高是下面的运行方式，3450-3300=150，3450+150=3600，这是书面目标。----------投资很简单，无知意淫会完蛋我们已经划好喇叭口并肯定调整结束，今天三指数齐涨，主力已经换好筹码，散户已经不见人影，明天这是一个主升浪的开始，，主升浪会连续V形涨6天-8天-10天，，先会一口气封闭喇叭口，还要一口气到3650，，这是陌上花开的主升浪，也是一个定式，3650就是一个定式。意淫没有用，雕虫小技没有用，天天夸夸其谈杞人忧天没有用。一切都是定式。。。首席3016时说：黄河转过了弯，势能转换为动能会喷薄而出，这是一波主升浪，会连涨13周，到了3450才会调整3-5周，然后直接去3650.是不是一直这样说，3016后的每一个贴都是这样说的，财富访谈，东财访谈都是这样说的。由于3350到3450这一段走的比较慢，所以现在3450后采取了急跌来完成，但总时间与空间刚刚吻合，没有出入。投资我们一直有运行框架，有时候小结构会有小变化，但永远不会改变首席的前进框架前进趋势前进方向，这是肯定的。-------------说过的话都会实现这次牛市太大没有散户敢做，也没有几个机构看的懂，前进的只有首席，因为这个牛市就是首席设计的，是“首席牛”。还有谁前进的？是果家队主力，就是几个大蓝筹里面的机构，整个两年投资只有首席跟果家队赢的。90-99%全部输的，首席早知道这个结果，现在你们才看得见情况了，可是意淫自作聪明让你们晚了。整个股市都有条不紊的按首席的框架逻辑运行至今丝毫没变，一个大牛市有两个大底，12月完成内资底2638-3650.明年是外资底3650-4800.首席说过两个底叠起来就是高原。让大家17一起骑牦牛上高原就是这个比喻。------------投资很简单，指数运行都可以量化给你们，投资标的一样都可以量化给你们。投资需要思想、逻辑，不是天天夸夸其谈意淫侥幸小聪明，一直说过：投资你们跟我相差十万八千公里，包括世界四大投行。西游记里说有一个故事，三道士和唐僧师徒打赌，猜第三个箱子里是面装的是什么（进去的是道童）这个不用猜的，大家都知道是道童，而事实呢？听的懂吗？出来的是什么？你不懂投资，没能力，靠赌靠猜是不行的，这个故事告诉你们的是：能力实力，决定输赢的是能力实力，其它一文不值。---------------箱子里面走出来的是和尚
"
