标题,链接,房屋总价,房屋户型,房本面积,房屋朝向,所在楼层,装修情况,产权年限,建筑年代,房屋类型,交易权属,参考首付,税费总计,是否唯一,税费描述
高沙百盛苑 2室1厅1卫 ,http://hz.58.com/ershoufang/33407333406919x.shtml,168                                万（单价28965                                元/㎡）,2室1厅1卫,58㎡,东,高层/共15层,中等装修,70年,,普通住宅,商品房,50.4                                万（月供4820元/月）,,,
富阳伊甸山庄 3室1厅1卫 114平米 ,http://hz.58.com/ershoufang/33498835380142x.shtml,190                                万（单价16666                                元/㎡）,3室1厅1卫,114㎡,南北,共4层,中等装修,70年,1996年,普通住宅,商品房,57                                万（月供5452元/月）,,,
低首付 首付15万 总价50万 月租1500 轻 ,http://hz.58.com/ershoufang/33498422314161x.shtml,50                                万（单价50000                                元/㎡）,1室1厅1卫,10㎡,南北,中层/共15层,中等装修,70年,2006年,普通住宅,商品房,15                                万（月供1434元/月）,,,
华城格之林花园 4室3厅3卫 ,http://hz.58.com/ershoufang/33423852270001x.shtml,230                                万（单价21296                                元/㎡）,4室3厅3卫,108㎡,南,高层/共6层,中等装修,70年,,普通住宅,商品房,69                                万（月供6600元/月）,,,
馨星大厦 1室1厅1卫 一号楼1001 ,http://hz.58.com/ershoufang/33496342644787x.shtml,100                                万（单价24764                                元/㎡）,1室1厅1卫,40.38㎡,,中层/共17层,中等装修,50年,,,商品房,30                                万（月供2871元/月）,,,
天苑花园3幢603 2室2厅1卫 ,http://hz.58.com/ershoufang/33099546939448x.shtml,280                                万（单价36138                                元/㎡）,2室2厅1卫,77.48㎡,南,低层/共24层,中等装修,70年,,普通住宅,商品房,84                                万（月供8037元/月）,,,
湖山帝景湾 3室1厅1卫 ,http://hz.58.com/ershoufang/33441825519285x.shtml,205                                万（单价24180                                元/㎡）,3室1厅1卫,84.78㎡,南,高层/共23层,中等装修,70年,,普通住宅,商品房,61.5                                万（月供5882元/月）,,,
潇湘公寓 3室2厅2卫 ,http://hz.58.com/ershoufang/33194301726407x.shtml,320                                万（单价26279                                元/㎡）,3室2厅2卫,121.77㎡,南北,高层/共7层,中等装修,70年,,普通住宅,商品房,96                                万（月供9185元/月）,,,
香园新村 2室1厅1卫 ,http://hz.58.com/ershoufang/33495430005188x.shtml,288                                万（单价56503                                元/㎡）,2室1厅1卫,50.97㎡,南北,高层/共6层,中等装修,70年,,普通住宅,商品房,86.4                                万（月供8264元/月）,,,
万宝城 2室1厅1卫 ,http://hz.58.com/ershoufang/33487376663086x.shtml,70                                万（单价17500                                元/㎡）,2室1厅1卫,40㎡,西,高层/共23层,中等装修,40年,,公寓,商品房,21                                万（月供2008元/月）,,,
萧山徐家河公寓 3室1厅1卫 ,http://hz.58.com/ershoufang/33490647520713x.shtml,220                                万（单价24746                                元/㎡）,3室1厅1卫,88.9㎡,南,中层/共7层,中等装修,70年,,普通住宅,商品房,66                                万（月供6315元/月）,,,
老余杭 地.铁.口 无.税 房东置换 首付无要求 ,http://hz.58.com/ershoufang/33488476599862x.shtml,210                                万（单价19925                                元/㎡）,3室2厅0卫,105.39㎡,南,低层/共6层,中等装修,70年,2004年,普通住宅,商品房,63                                万（月供6026元/月）,,,
南北盛德国际 1室1厅1卫 ,http://hz.58.com/ershoufang/33488269456691x.shtml,110                                万（单价22000                                元/㎡）,1室1厅1卫,50㎡,北,高层/共23层,中等装修,40年,,公寓,其他,33                                万（月供3156元/月）,,,
萧山城厢回澜北苑 3室1厅1卫 85平米 ,http://hz.58.com/ershoufang/33486940262213x.shtml,230                                万（单价27058                                元/㎡）,3室1厅1卫,85㎡,南,高层/共6层,中等装修,70年,1993年,普通住宅,商品房,69                                万（月供6600元/月）,,,
绿城桃花源迎霞苑 4室2厅2卫 ,http://hz.58.com/ershoufang/33486540626124x.shtml,200                                万（单价30303                                元/㎡）,4室2厅2卫,66㎡,南,共5层,中等装修,70年,,普通住宅,商品房,60                                万（月供5741元/月）,,,
旭辉府 2室2厅1卫 ,http://hz.58.com/ershoufang/33486518816183x.shtml,190                                万（单价21348                                元/㎡）,2室2厅1卫,89㎡,南北,高层/共30层,中等装修,70年,,普通住宅,其他,57                                万（月供5452元/月）,,,
怡景花城流霞苑 3室2厅 280万 ,http://hz.58.com/ershoufang/33486189778384x.shtml,280                                万（单价23321                                元/㎡）,3室2厅0卫,120.06㎡,南,中层/共6层,中等装修,70年,2004年,普通住宅,商品房,84                                万（月供8037元/月）,,,
郡枫绿园东区 2室2厅1卫加一个地下车位 ,http://hz.58.com/ershoufang/33442260803534x.shtml,205                                万（单价32674                                元/㎡）,2室2厅1卫,62.74㎡,南,高层/共14层,中等装修,70年,,普通住宅,商品房,61.5                                万（月供5882元/月）,,,
万亚金沙湖1号 5室1厅2卫 ,http://hz.58.com/ershoufang/32843222468672x.shtml,168                                万（单价24955                                元/㎡）,5室1厅2卫,67.32㎡,,低层/共20层,中等装修,40年,,,商品房,50.4                                万（月供4820元/月）,,,
花城名苑 1室1厅1卫 ,http://hz.58.com/ershoufang/33484395873195x.shtml,130                                万（单价24074                                元/㎡）,1室1厅1卫,54㎡,南北,中层/共6层,中等装修,70年,,普通住宅,经济适用房,39                                万（月供3730元/月）,,,
邱山小区 九号线D铁口 满两年 急卖 适宜养老居 ,http://hz.58.com/ershoufang/33484300971984x.shtml,130                                万（单价17641                                元/㎡）,2室1厅1卫,73.69㎡,南北,低层/共6层,中等装修,70年,2000年,普通住宅,商品房,39                                万（月供3730元/月）,,,
石首市富源新居边 3室2厅2卫 ,http://hz.58.com/ershoufang/33467635295533x.shtml,28                                万（单价2592                                元/㎡）,3室2厅2卫,108㎡,东,高层/共6层,中等装修,50年,,普通住宅,其他,8.4                                万（月供802元/月）,,,
瑞博林之语 3室2厅2卫 ,http://hz.58.com/ershoufang/33318437780397x.shtml,360                                万（单价30848                                元/㎡）,3室2厅2卫,116.7㎡,,低层/共10层,中等装修,70年,,,商品房,108                                万（月供10333元/月）,,,
余杭临平龙湖香醍溪岸5室2厅3卫 238平米 ,http://hz.58.com/ershoufang/33479237536575x.shtml,320                                万（单价13445                                元/㎡）,5室2厅3卫,238㎡,南,高层/共25层,中等装修,70年,2015年,普通住宅,商品房,96                                万（月供9185元/月）,,,
元成时代 特价公寓出售 ,http://hz.58.com/ershoufang/33477215301451x.shtml,40                                万（单价11111                                元/㎡）,1室0厅1卫,36㎡,东,中层/共32层,中等装修,50年,,公寓,商品房,12                                万（月供1149元/月）,,,
东方俊园 3室2厅2卫 ,http://hz.58.com/ershoufang/33410859915205x.shtml,200                                万（单价15931                                元/㎡）,3室2厅2卫,125.54㎡,南北,低层/共11层,中等装修,70年,,普通住宅,经济适用房,60                                万（月供5741元/月）,,,
余杭临平星光街968号201 4室2厅1卫 85 ,http://hz.58.com/ershoufang/33266167336745x.shtml,170                                万（单价20000                                元/㎡）,4室2厅1卫,85㎡,南北,共4层,中等装修,70年,1994年,普通住宅,商品房,51                                万（月供4878元/月）,,,
万宝城 2室1厅1卫 ,http://hz.58.com/ershoufang/33476909883433x.shtml,58                                万（单价14500                                元/㎡）,2室1厅1卫,40㎡,南,中层/共23层,中等装修,40年,,公寓,商品房,17.4                                万（月供1665元/月）,,,
精装修万宝城 2室1厅1卫 ,http://hz.58.com/ershoufang/33476886273723x.shtml,58                                万（单价14500                                元/㎡）,2室1厅1卫,40㎡,南,中层/共23层,中等装修,40年,,公寓,商品房,17.4                                万（月供1665元/月）,,,
华盛达阅城 4室2厅2卫 ,http://hz.58.com/ershoufang/33476191496633x.shtml,535                                万（单价43344                                元/㎡）,4室2厅2卫,123.43㎡,南北,高层/共25层,中等装修,70年,,普通住宅,商品房,160.5                                万（月供15355元/月）,,,
秋涛北路322号一单元502 3室1厅1卫 ,http://hz.58.com/ershoufang/33475787999559x.shtml,300                                万（单价37921                                元/㎡）,3室1厅1卫,79.11㎡,南北,中层/共7层,中等装修,70年,,普通住宅,商品房,90                                万（月供8611元/月）,,,
都市港湾 拎包入住开发商统一装修 ,http://hz.58.com/ershoufang/33262778146892x.shtml,75                                万（单价14608                                元/㎡）,1室1厅1卫,51.34㎡,南,中层/共22层,中等装修,70年,,普通住宅,商品房,22.5                                万（月供2153元/月）,,,
萧山城厢崇化小区 2室1厅1卫 58.14平米 ,http://hz.58.com/ershoufang/33475512820925x.shtml,130                                万（单价22359                                元/㎡）,2室1厅1卫,58.14㎡,南,高层/共6层,中等装修,70年,1988年,普通住宅,商品房,39                                万（月供3730元/月）,,,
钱江三苑 3室1厅1卫 ,http://hz.58.com/ershoufang/33474249756624x.shtml,480                                万（单价48000                                元/㎡）,3室1厅1卫,100㎡,南北,中层/共7层,中等装修,70年,,普通住宅,其他,144                                万（月供13777元/月）,,,
新城都市丽景 3室2厅2卫 ,http://hz.58.com/ershoufang/33473809938752x.shtml,278                                万（单价20592                                元/㎡）,3室2厅2卫,135㎡,南,共5层,中等装修,70年,,普通住宅,商品房,83.4                                万（月供7979元/月）,,,
龙兴道一号 3室1厅1卫 ,http://hz.58.com/ershoufang/33299375214643x.shtml,180                                万（单价20689                                元/㎡）,3室1厅1卫,87㎡,南,高层/共24层,中等装修,70年,,普通住宅,商品房,54                                万（月供5167元/月）,,,
万宝城 2室1厅1卫 ,http://hz.58.com/ershoufang/33473496867885x.shtml,55                                万（单价13750                                元/㎡）,2室1厅1卫,40㎡,南,中层/共21层,中等装修,40年,,公寓,商品房,16.5                                万（月供1579元/月）,,,
柯家湾山庄4楼带5楼阁楼 ,http://hz.58.com/ershoufang/33473432174391x.shtml,150                                万（单价16666                                元/㎡）,5室2厅2卫,90㎡,东,共5层,中等装修,70年,,普通住宅,商品房,45                                万（月供4304元/月）,,,
福利新村 2室1厅1卫南北朝向 ,http://hz.58.com/ershoufang/33473357545038x.shtml,260                                万（单价43726                                元/㎡）,2室1厅1卫,59.46㎡,南北,低层/共7层,中等装修,70年,,普通住宅,商品房,78                                万（月供7463元/月）,,,
华立金顶苑 哎哟。不错哦 ,http://hz.58.com/ershoufang/33473173718697x.shtml,614                                万（单价52038                                元/㎡）,3室2厅2卫,117.99㎡,南北,高层/共11层,中等装修,70年,,普通住宅,商品房,184.2                                万（月供17620元/月）,,,
美都广场 2室1厅1卫 ,http://hz.58.com/ershoufang/33472867107010x.shtml,128                                万（单价19692                                元/㎡）,2室1厅1卫,65㎡,南,低层/共12层,中等装修,40年,,公寓,其他,38.4                                万（月供3672元/月）,,,
经建绅世郡(公寓) 4室2厅2卫 ,http://hz.58.com/ershoufang/33472803157178x.shtml,288                                万（单价21254                                元/㎡）,4室2厅2卫,135.5㎡,南北,高层/共24层,中等装修,70年,,普通住宅,商品房,86.4                                万（月供8264元/月）,,,
（个人）现代印象广场 1室1厅1卫 ,http://hz.58.com/ershoufang/33396396564174x.shtml,95                                万（单价19387                                元/㎡）,1室1厅1卫,49㎡,西南,低层/共30层,中等装修,50年,,公寓,商品房,28.5                                万（月供2727元/月）,,,
万豪广场好房急售 ,http://hz.58.com/ershoufang/33232163333033x.shtml,158                                万（单价16624                                元/㎡）,4室1厅1卫,95.04㎡,东,低层/共28层,中等装修,70年,,公寓,商品房,47.4                                万（月供4535元/月）,,,
十东海水景城 3室2厅2卫 ,http://hz.58.com/ershoufang/33468587683403x.shtml,295                                万（单价23983                                元/㎡）,3室2厅2卫,123㎡,南北,中层/共19层,中等装修,70年,,普通住宅,商品房,88.5                                万（月供8467元/月）,,,
金沙国际 1室1厅1卫 ,http://hz.58.com/ershoufang/33467951899975x.shtml,72                                万（单价12596                                元/㎡）,1室1厅1卫,57.16㎡,南,高层/共15层,中等装修,40年,,公寓,使用权,21.6                                万（月供2067元/月）,,,
恒合金座 2室1厅1卫 ,http://hz.58.com/ershoufang/33467421776306x.shtml,146                                万（单价21470                                元/㎡）,2室1厅1卫,68㎡,南,低层/共19层,中等装修,70年,,普通住宅,商品房,43.8                                万（月供4191元/月）,,,
嘉凯诚名城博园 1室2厅1卫新房出售 ,http://hz.58.com/ershoufang/33466835422649x.shtml,160                                万（单价27118                                元/㎡）,1室2厅1卫,59㎡,南,高层/共30层,中等装修,70年,,普通住宅,商品房,48                                万（月供4593元/月）,,,
赵家弄小区 3室2厅1卫 ,http://hz.58.com/ershoufang/33466585404988x.shtml,160                                万（单价16842                                元/㎡）,3室2厅1卫,95㎡,南,共5层,中等装修,70年,,普通住宅,商品房,48                                万（月供4593元/月）,,,
南湖大厦 1室1卫 ,http://hz.58.com/ershoufang/31906188608436x.shtml,90                                万（单价19565                                元/㎡）,1室1厅1卫,46㎡,南,中层/共20层,中等装修,50年,,公寓,商品房,27                                万（月供2582元/月）,,,
机神新村 地铁口的3室1厅1卫 ,http://hz.58.com/ershoufang/33407410653129x.shtml,298                                万（单价43972                                元/㎡）,3室1厅1卫,67.77㎡,南北,中层/共6层,中等装修,70年,,普通住宅,其他,89.4                                万（月供8553元/月）,,,
天河苑 适合小夫妻居住 看房有钥匙 房东 一套熊 ,http://hz.58.com/ershoufang/33465701459909x.shtml,31                                万（单价11289                                元/㎡）,1室1厅0卫,27.46㎡,南,中层/共6层,中等装修,70年,2007年,普通住宅,商品房,9.3                                万（月供888元/月）,,,
爵士花园精装三房，房东诚心急卖，的面积大 ,http://hz.58.com/ershoufang/33465701267255x.shtml,260                                万（单价17333                                元/㎡）,3室2厅0卫,150㎡,南,中层/共21层,中等装修,70年,2013年,普通住宅,商品房,78                                万（月供7463元/月）,,,
青山鹤岭 3室2厅2卫 ,http://hz.58.com/ershoufang/33465225764779x.shtml,136                                万（单价12477                                元/㎡）,3室2厅2卫,109㎡,南北,低层/共11层,中等装修,70年,,普通住宅,商品房,40.8                                万（月供3902元/月）,,,
翠紫苑 3室2厅2卫 ,http://hz.58.com/ershoufang/33465036670276x.shtml,170                                万（单价13934                                元/㎡）,3室2厅2卫,122㎡,南北,低层/共7层,中等装修,70年,,普通住宅,商品房,51                                万（月供4878元/月）,,,
爵士风情日辉苑 4室3厅2卫 ,http://hz.58.com/ershoufang/33464946711887x.shtml,251                                万（单价28202                                元/㎡）,4室3厅2卫,89㎡,南北,高层/共7层,中等装修,70年,,普通住宅,商品房,75.3                                万（月供7202元/月）,,,
临浦峙山北路 2室1厅1卫 ,http://hz.58.com/ershoufang/33464777235522x.shtml,70                                万（单价12727                                元/㎡）,2室1厅1卫,55㎡,南,共5层,中等装修,70年,,普通住宅,商品房,21                                万（月供2008元/月）,,,
晨曦四中太阳城花园 2室2厅1卫 ,http://hz.58.com/ershoufang/33341979034554x.shtml,123                                万（单价15000                                元/㎡）,2室2厅1卫,82㎡,南,低层/共6层,中等装修,70年,,普通住宅,商品房,36.9                                万（月供3531元/月）,,,
美政花苑2室一厅觉得便宜的好房子 ,http://hz.58.com/ershoufang/33454513517776x.shtml,230                                万（单价37569                                元/㎡）,2室1厅1卫,61.22㎡,南,高层/共7层,中等装修,70年,,普通住宅,商品房,69                                万（月供6600元/月）,,,
星火小区7-1-505 3室2厅1卫 ,http://hz.58.com/ershoufang/33463450305209x.shtml,150                                万（单价16666                                元/㎡）,3室2厅1卫,90㎡,南,高层/共6层,中等装修,70年,,普通住宅,商品房,45                                万（月供4304元/月）,,,
笕东嘉园 2室1厅1卫 ,http://hz.58.com/ershoufang/32856811470506x.shtml,190                                万（单价30645                                元/㎡）,2室1厅1卫,62㎡,南,低层/共18层,中等装修,70年,,普通住宅,商品房,57                                万（月供5452元/月）,,,
上城城站泰地万新大厦 1室1厅1卫 35.65平 ,http://hz.58.com/ershoufang/33463275538614x.shtml,80                                万（单价22440                                元/㎡）,1室1厅1卫,35.65㎡,,高层/共24层,中等装修,40年,2007年,普通住宅,商品房,24                                万（月供2297元/月）,,,
出售鑫鑫小区 2室2厅1卫 ,http://hz.58.com/ershoufang/33463186744633x.shtml,76                                万（单价10000                                元/㎡）,2室2厅1卫,76㎡,南,高层/共7层,中等装修,70年,,普通住宅,商品房,22.8                                万（月供2180元/月）,,,
德信早安 3室2厅1卫 ,http://hz.58.com/ershoufang/33463061874234x.shtml,190                                万（单价21348                                元/㎡）,3室2厅1卫,89㎡,南北,中层/共23层,中等装修,70年,,普通住宅,商品房,57                                万（月供5452元/月）,,,
余杭乔司复地连城国际 2室2厅1卫 85平米 ,http://hz.58.com/ershoufang/33462994100678x.shtml,180                                万（单价21176                                元/㎡）,2室2厅1卫,85㎡,南北,中层/共11层,中等装修,70年,2011年,普通住宅,商品房,54                                万（月供5167元/月）,,,
城东新城绿城玉兰公寓出售 ,http://hz.58.com/ershoufang/33462975962925x.shtml,406                                万（单价45383                                元/㎡）,2室1厅1卫,89.46㎡,南,中层/共17层,中等装修,70年,,公寓,商品房,121.8                                万（月供11653元/月）,,,
临浦浴美施路中装82方只卖115万 ,http://hz.58.com/ershoufang/33411459017019x.shtml,115                                万（单价14024                                元/㎡）,2室2厅1卫,82㎡,东,中层/共6层,中等装修,70年,,普通住宅,商品房,34.5                                万（月供3301元/月）,,,
西湖翠苑翠苑一区 2室1厅1卫 49平米 ,http://hz.58.com/ershoufang/33462824384065x.shtml,222                                万（单价45306                                元/㎡）,2室1厅1卫,49㎡,南北,中层/共7层,中等装修,70年,1988年,普通住宅,商品房,66.6                                万（月供6370元/月）,,,
石马小区 2室2厅1卫 ,http://hz.58.com/ershoufang/33462627386942x.shtml,120                                万（单价13953                                元/㎡）,2室2厅1卫,86㎡,南,中层/共6层,中等装修,70年,,普通住宅,商品房,36                                万（月供3445元/月）,,,
新元金沙城 3室2厅2卫 ,http://hz.58.com/ershoufang/33462533425962x.shtml,200                                万（单价15748                                元/㎡）,3室2厅2卫,127㎡,南北,中层/共22层,中等装修,40年,,其他,其他,60                                万（月供5741元/月）,,,
东尚国际寓所 1室0厅1卫 ,http://hz.58.com/ershoufang/33423224104012x.shtml,23                                万（单价8214                                元/㎡）,1室0厅1卫,28㎡,南,中层/共6层,中等装修,40年,,普通住宅,使用权,6.9                                万（月供661元/月）,,,
中旅紫金名门 3室2厅1卫 ,http://hz.58.com/ershoufang/33457451678389x.shtml,380                                万（单价43930                                元/㎡）,3室2厅1卫,86.5㎡,南,高层/共33层,中等装修,70年,,普通住宅,商品房,114                                万（月供10907元/月）,,,
中梁方园府 1室1厅1卫 ,http://hz.58.com/ershoufang/33211462786106x.shtml,105                                万（单价22826                                元/㎡）,1室1厅1卫,46㎡,北,中层/共17层,中等装修,40年,,公寓,其他,31.5                                万（月供3012元/月）,,,
西湖三墩兰韵天城 1室1厅1卫 58.8平米 ,http://hz.58.com/ershoufang/33455403404087x.shtml,218                                万（单价37074                                元/㎡）,1室1厅1卫,58.8㎡,南北,中层/共11层,中等装修,70年,2009年,普通住宅,商品房,65.4                                万（月供6257元/月）,,,
香山四季公馆 4室2厅1卫 ,http://hz.58.com/ershoufang/33455014742080x.shtml,110                                万（单价15477                                元/㎡）,4室2厅1卫,71.07㎡,南,高层/共19层,中等装修,40年,,公寓,商品房,33                                万（月供3156元/月）,,,
融信品质，申花板块，宜居宜游，出行便利。 ,http://hz.58.com/ershoufang/33454821559489x.shtml,310                                万（单价39425                                元/㎡）,2室2厅1卫,78.63㎡,南,中层/共28层,中等装修,70年,2010年,普通住宅,商品房,93                                万（月供8896元/月）,,,
三华园 1室1厅1卫 ,http://hz.58.com/ershoufang/33245725840188x.shtml,85                                万（单价24285                                元/㎡）,1室1厅1卫,35㎡,西,低层/共23层,中等装修,50年,,公寓,商品房,25.5                                万（月供2438元/月）,,,
西湖三墩杭州金地广场 1室1厅1卫 35平米 ,http://hz.58.com/ershoufang/33454565940918x.shtml,95                                万（单价27142                                元/㎡）,1室1厅1卫,35㎡,东,高层/共22层,中等装修,40年,2015年,公寓,商品房,28.5                                万（月供2727元/月）,,,
余杭临平复地又一城 2室2厅1卫 87.98平米 ,http://hz.58.com/ershoufang/33454103046470x.shtml,220                                万（单价25005                                元/㎡）,2室2厅1卫,87.98㎡,南北,低层/共16层,中等装修,70年,2012年,普通住宅,商品房,66                                万（月供6315元/月）,,,
浙一浙二附近，交通便利 ,http://hz.58.com/ershoufang/33453505962667x.shtml,369                                万（单价44457                                元/㎡）,3室1厅1卫,83㎡,南北,共5层,中等装修,70年,2000年,普通住宅,商品房,110.7                                万（月供10591元/月）,,,
保亿丽景山(公寓 3室2厅1卫 ,http://hz.58.com/ershoufang/33452098540623x.shtml,238                                万（单价26651                                元/㎡）,3室2厅1卫,89.3㎡,南,高层/共18层,中等装修,70年,,公寓,商品房,71.4                                万（月供6831元/月）,,,
天阳云筑 三房朝南精装满两年带车位 南北通透 对 ,http://hz.58.com/ershoufang/33451556024010x.shtml,340                                万（单价38636                                元/㎡）,3室1厅2卫,88㎡,南,高层/共17层,中等装修,70年,2015年,普通住宅,商品房,102                                万（月供9759元/月）,,,
天阳棕榈湾 2室2厅1卫 ,http://hz.58.com/ershoufang/33451331306960x.shtml,230                                万（单价25842                                元/㎡）,2室2厅1卫,89㎡,南北,中层/共18层,中等装修,70年,,普通住宅,商品房,69                                万（月供6600元/月）,,,
一方大厦建设三路地铁口，交通方便，配套设施 1室 ,http://hz.58.com/ershoufang/33451333332665x.shtml,75                                万（单价16025                                元/㎡）,1室1厅1卫,46.8㎡,南,低层/共15层,中等装修,70年,,公寓,经济适用房,22.5                                万（月供2153元/月）,,,
西溪晴雪 4室2厅1卫 ,http://hz.58.com/ershoufang/32612306750254x.shtml,360                                万（单价30508                                元/㎡）,4室2厅1卫,118㎡,,低层/共7层,中等装修,70年,,,商品房,108                                万（月供10333元/月）,,,
昆仑红苹果 住房出售 ,http://hz.58.com/ershoufang/33451082039992x.shtml,388                                万（单价28976                                元/㎡）,3室2厅2卫,133.9㎡,南,高层/共14层,中等装修,70年,,普通住宅,商品房,116.4                                万（月供11134元/月）,,,
耀达金鼎极品商铺 ,http://hz.58.com/ershoufang/33450693115693x.shtml,750                                万（单价27675                                元/㎡）,2室8厅1卫,271㎡,东,共2层,中等装修,40年,,其他,商品房,225                                万（月供21524元/月）,,,
远东新月公寓 1室1厅1卫 ,http://hz.58.com/ershoufang/33449757238863x.shtml,190                                万（单价39699                                元/㎡）,1室1厅1卫,47.86㎡,北,高层/共13层,中等装修,70年,,普通住宅,商品房,57                                万（月供5452元/月）,,,
渔港嘉园 3室1厅2卫 ,http://hz.58.com/ershoufang/33446811081515x.shtml,128                                万（单价9846                                元/㎡）,3室1厅2卫,130㎡,南,高层/共6层,中等装修,70年,,新里洋房,使用权,38.4                                万（月供3672元/月）,,,
康盛花园 2室1厅1卫 ,http://hz.58.com/ershoufang/33446257837619x.shtml,75                                万（单价9375                                元/㎡）,2室1厅1卫,80㎡,南,中层/共6层,中等装修,70年,,普通住宅,商品房,22.5                                万（月供2153元/月）,,,
房东因置换需求，急需出售。玲珑花园 3室2厅2卫 ,http://hz.58.com/ershoufang/33445497796814x.shtml,155                                万（单价11923                                元/㎡）,3室2厅2卫,130㎡,,高层/共6层,中等装修,70年,,,商品房,46.5                                万（月供4449元/月）,,,
银都大厦 1室0厅1卫 ,http://hz.58.com/ershoufang/33445467606580x.shtml,126                                万（单价29315                                元/㎡）,1室0厅1卫,42.98㎡,西,中层/共23层,中等装修,70年,,公寓,商品房,37.8                                万（月供3617元/月）,,,
野风启城 2室1厅1卫 ,http://hz.58.com/ershoufang/33445459696441x.shtml,86                                万（单价15925                                元/㎡）,2室1厅1卫,54㎡,南北,中层/共20层,中等装修,70年,,普通住宅,商品房,25.8                                万（月供2469元/月）,,,
野风启城 2室1厅1卫 ,http://hz.58.com/ershoufang/33445349769423x.shtml,88                                万（单价16296                                元/㎡）,2室1厅1卫,54㎡,南,中层/共20层,中等装修,70年,,普通住宅,商品房,26.4                                万（月供2524元/月）,,,
上杭滨江 2室2厅2卫 ,http://hz.58.com/ershoufang/33445092547532x.shtml,135                                万（单价14673                                元/㎡）,2室2厅2卫,92㎡,东南,高层/共6层,中等装修,70年,,普通住宅,经济适用房,40.5                                万（月供3875元/月）,,,
后周 3室1厅1卫 ,http://hz.58.com/ershoufang/33400065468730x.shtml,103                                万（单价8583                                元/㎡）,3室1厅1卫,120㎡,南,高层/共8层,中等装修,70年,,普通住宅,其他,30.9                                万（月供2957元/月）,,,
房东因置换需求急售玲珑花园 3室2厅2卫 ,http://hz.58.com/ershoufang/33444471282756x.shtml,160                                万（单价12307                                元/㎡）,3室2厅2卫,130㎡,,高层/共6层,中等装修,70年,,,商品房,48                                万（月供4593元/月）,,,
余杭星桥汤家锦绣公寓二区 2室1厅1卫 62平米 ,http://hz.58.com/ershoufang/33443739983437x.shtml,115                                万（单价18548                                元/㎡）,2室1厅1卫,62㎡,南北,高层/共6层,中等装修,70年,2015年,普通住宅,商品房,34.5                                万（月供3301元/月）,,,
大江东星悦湾 3室1厅1卫 ,http://hz.58.com/ershoufang/33443516874411x.shtml,137                                万（单价14270                                元/㎡）,3室1厅1卫,96㎡,南,低层/共15层,中等装修,70年,,普通住宅,商品房,41.1                                万（月供3930元/月）,,,
左邻右里 4室3厅2卫 ,http://hz.58.com/ershoufang/33443495723314x.shtml,218                                万（单价12111                                元/㎡）,4室3厅2卫,180㎡,南,高层/共6层,中等装修,70年,,普通住宅,商品房,65.4                                万（月供6257元/月）,,,
伊萨卡国际城 3室2厅2卫 ,http://hz.58.com/ershoufang/33383616244044x.shtml,260                                万（单价24353                                元/㎡）,3室2厅2卫,106.76㎡,南,高层/共34层,中等装修,70年,,普通住宅,商品房,78                                万（月供7463元/月）,,,
宝塔公寓 3室2厅1卫 ,http://hz.58.com/ershoufang/33441854279873x.shtml,152                                万（单价18424                                元/㎡）,3室2厅1卫,82.5㎡,南北,共5层,中等装修,70年,,普通住宅,商品房,45.6                                万（月供4363元/月）,,,
双金山，旺角城旁，小面积3房送自行车库只要310 ,http://hz.58.com/ershoufang/33441437813562x.shtml,310                                万（单价30693                                元/㎡）,3室2厅1卫,101㎡,南北,高层/共6层,中等装修,70年,,普通住宅,商品房,93                                万（月供8896元/月）,,,
房东诚心出售，北城枫景苑 160万，两房首付可以 ,http://hz.58.com/ershoufang/33440959226815x.shtml,160                                万（单价25806                                元/㎡）,3室3厅2卫,62㎡,南北,中层/共17层,中等装修,70年,,普通住宅,商品房,48                                万（月供4593元/月）,,,
杭州市上城区复兴南苑 1室1厅1卫 ,http://hz.58.com/ershoufang/33377353245617x.shtml,175                                万（单价46829                                元/㎡）,1室1厅1卫,37.37㎡,南,中层/共7层,中等装修,70年,,普通住宅,商品房,52.5                                万（月供5023元/月）,,,
德胜新村急售 总价低，房东诚心卖 ,http://hz.58.com/ershoufang/33440556668988x.shtml,126                                万（单价37986                                元/㎡）,1室1厅1卫,33.17㎡,南北,高层/共7层,中等装修,70年,1988年,普通住宅,商品房,37.8                                万（月供3617元/月）,,,
中铁逸都 3室2厅1卫 急出，中介勿扰，要的私信 ,http://hz.58.com/ershoufang/33440243181904x.shtml,160                                万（单价17977                                元/㎡）,3室2厅1卫,89㎡,南北,中层/共21层,中等装修,70年,,普通住宅,商品房,48                                万（月供4593元/月）,,,
塘栖里仁路1号2幢 2室1厅1卫 ,http://hz.58.com/ershoufang/33419166060749x.shtml,70                                万（单价13011                                元/㎡）,2室1厅1卫,53.8㎡,东,共4层,中等装修,70年,,公寓,经济适用房,21                                万（月供2008元/月）,,,
高桥小区 2室1厅1卫 ,http://hz.58.com/ershoufang/33058060568894x.shtml,182                                万（单价30333                                元/㎡）,2室1厅1卫,60㎡,南,共1层,中等装修,70年,,普通住宅,商品房,54.6                                万（月供5222元/月）,,,
久恒铭鹤花园 2室0厅0卫 ,http://hz.58.com/ershoufang/33312643662667x.shtml,66                                万（单价9295                                元/㎡）,2室0厅0卫,71㎡,南,共3层,中等装修,40年,,其他,商品房,19.8                                万（月供1895元/月）,,,
