标题,链接,开始时间,预计结束时间,第几次拍卖,成交价,成交时间,延时次数,起拍价,保证金,评估价,加价幅度,竞价周期,延时周期,类型,优先购买权人,处置单位,报名人数,设置提醒人数,围观次数,竞买次数,市场价
浙AD5A73雪佛兰牌小型轿车,https://sf.taobao.com/sf_item/565628222732.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,70000,2018/3/27 10:17,13,"￥40,000","￥8,000","￥42,000",￥500,1天,5分钟,拍卖,无,临安市人民法院,10,127,6247,19,
浙J8676Y号荣威牌小型汽车,https://sf.taobao.com/sf_item/565592465369.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,26100,2018/3/27 10:16,9,"￥19,600","￥3,920","￥28,000",￥500,1天,5分钟,拍卖,无,台州市椒江区人民法院,8,122,4889,14,
纳智捷牌苏B798DB小型汽车一辆,https://sf.taobao.com/sf_item/565430236439.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,74000,2018/3/27 10:16,7,"￥42,000","￥8,000","￥59,000","￥1,000",1天,5分钟,拍卖,无,无锡市梁溪区人民法院,16,448,15409,26,
浙JA0S15揽胜极光客车一辆,https://sf.taobao.com/sf_item/565587601088.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,254000,2018/3/27 10:15,20,"￥140,000","￥20,000","￥200,000","￥2,000",1天,5分钟,拍卖,无,玉环市人民法院,26,1290,28912,44,
车牌号为浙B2FS80梅赛德斯-奔驰牌小型轿车一辆,https://sf.taobao.com/sf_item/565489993188.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,257000,2018/3/27 10:15,18,"￥135,000","￥20,000","￥192,500","￥1,000",1天,5分钟,拍卖,无,宁波市鄞州区人民法院,19,1430,33729,72,
鲁QU0243北京现代轿车,https://sf.taobao.com/sf_item/565454998408.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,73000,2018/3/27 10:14,22,"￥44,000","￥5,000","￥44,000",￥500,1天,5分钟,拍卖,无,邹城市人民法院,12,116,6203,47,
浙AU987C长城牌小型轿车,https://sf.taobao.com/sf_item/565686039369.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,48787,2018/3/27 10:14,14,"￥16,787","￥3,300","￥23,982","￥1,000",1天,5分钟,拍卖,无,泰顺县人民法院,6,57,5937,28,
浙GLZ899汽车,https://sf.taobao.com/sf_item/566139547231.htm,2018/3/26 10:00,2018/3/27 10:00,第二次拍卖,30860,2018/3/27 10:14,7,"￥28,160","￥5,500","￥44,000",￥100,1天,5分钟,拍卖,无,永康市人民法院,5,56,5728,18,
浙J9FU57三菱牌汽车一辆,https://sf.taobao.com/sf_item/565586525131.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,51000,2018/3/27 10:14,8,"￥35,000","￥7,000","￥43,000","￥1,000",1天,5分钟,拍卖,无,玉环市人民法院,7,149,7976,17,
车牌号为浙AC289R奥迪牌小型普通客车一辆,https://sf.taobao.com/sf_item/565431492618.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,200000,2018/3/27 10:13,10,"￥103,500","￥20,000","￥147,449",￥500,1天,5分钟,拍卖,无,杭州市江干区人民法院,16,1519,47604,95,
被执行人彭东明名下丰田小汽车一辆,https://sf.taobao.com/sf_item/565668222558.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,221060,2018/3/27 10:12,30,"￥102,060","￥20,000","￥145,800","￥1,000",1天,5分钟,拍卖,无,深圳市宝安区人民法院,20,803,37122,45,
甘M32555号大众途观客车,https://sf.taobao.com/sf_item/565490033936.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,106075.5,2018/3/27 10:12,12,"￥86,075.5","￥12,000","￥122,965","￥1,000",1天,5分钟,拍卖,无,华池县人民法院,6,238,7977,21,
车牌号为浙BG2A23的大众牌轿车一辆,https://sf.taobao.com/sf_item/565640687926.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,120500,2018/3/27 10:11,31,"￥70,000","￥10,000","￥100,000",￥500,1天,5分钟,拍卖,无,宁波市鄞州区人民法院,13,391,12995,71,
浙G538ZK吉利美日牌汽车,https://sf.taobao.com/sf_item/565264864662.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,57400,2018/3/27 10:11,9,"￥35,000","￥7,000","￥50,000",￥400,1天,5分钟,拍卖,无,金华市婺城区人民法院,15,288,12020,45,
车牌为浙A2577H丰田牌小型轿车一辆,https://sf.taobao.com/sf_item/565599790290.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,78000,2018/3/27 10:11,22,"￥26,000","￥5,000","￥36,645",￥500,1天,5分钟,拍卖,无,杭州市江干区人民法院,15,275,7653,44,
苏M12J20荣威牌小型普通客车,https://sf.taobao.com/sf_item/565385056561.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,105000,2018/3/27 10:11,6,"￥100,000","￥20,000",,￥500,1天,5分钟,拍卖,无,泰兴市人民法院,4,232,8557,6,"￥100,000"
车牌号为苏EK59C8的小型汽车,https://sf.taobao.com/sf_item/565375695607.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,265220,2018/3/27 10:10,4,"￥178,220","￥20,000","￥254,600","￥1,000",1天,5分钟,拍卖,无,衢州市衢江区人民法院,17,401,15193,63,
车牌号为苏GXH722号汽车一辆,https://sf.taobao.com/sf_item/565621374498.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,27400,2018/3/27 10:08,4,"￥22,400","￥4,000","￥31,870","￥1,000",1天,5分钟,拍卖,无,杭州市余杭区人民法院,3,64,4146,6,
被执行人李舒娴名下粤B602BW本田思域小汽车一辆,https://sf.taobao.com/sf_item/565593317714.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,122440,2018/3/27 10:07,36,"￥69,440","￥10,000","￥99,200","￥1,000",1天,5分钟,拍卖,无,深圳市宝安区人民法院,24,225,18394,47,
梅赛德斯-奔驰轿车，车牌号为冀FB9C66,https://sf.taobao.com/sf_item/565687491143.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,752000,2018/3/27 10:07,23,"￥612,000","￥60,000","￥680,000","￥2,000",1天,5分钟,拍卖,无,曲阳县人民法院,13,332,12281,60,
车牌号为苏L65Z83奔驰牌小型轿车一辆,https://sf.taobao.com/sf_item/565682506620.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,286000,2018/3/27 10:06,6,"￥147,000","￥20,000",,"￥1,000",1天,5分钟,拍卖,无,南京市鼓楼区人民法院,32,2397,65597,42,"￥210,000"
车牌为浙A387MZ江淮牌小型普通客车壹辆,https://sf.taobao.com/sf_item/565708867862.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,58000,2018/3/27 10:06,6,"￥30,000","￥6,000","￥30,886","￥2,000",1天,5分钟,拍卖,无,杭州市萧山区人民法院,10,45,4334,9,
雪佛兰牌科迈罗轿车,https://sf.taobao.com/sf_item/565941537286.htm,2018/3/26 10:00,2018/3/27 10:00,第二次拍卖,180800,2018/3/27 10:06,2,"￥164,800","￥9,000","￥206,000","￥1,600",1天,5分钟,拍卖,无,哈尔滨铁路运输中级法院,3,179,9362,9,
浙GLH758别克汽车,https://sf.taobao.com/sf_item/565976689010.htm,2018/3/26 10:00,2018/3/27 10:00,第二次拍卖,18120,2018/3/27 10:05,7,"￥14,720","￥2,800","￥23,000",￥100,1天,5分钟,拍卖,无,永康市人民法院,5,57,3535,26,
鲁J98935宝马牌小型轿车一辆,https://sf.taobao.com/sf_item/566138151096.htm,2018/3/26 10:00,2018/3/27 10:00,第二次拍卖,300672,2018/3/27 10:05,4,"￥250,672","￥50,000","￥294,908","￥2,000",1天,5分钟,拍卖,无,泰安市岱岳区人民法院,10,226,8410,25,
浙D7271 B,https://sf.taobao.com/sf_item/565663046951.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,26400,2018/3/27 10:05,6,"￥8,800","￥1,600","￥12,500",￥800,1天,5分钟,拍卖,无,浦江县人民法院,13,356,10247,12,
浙CV9L87奥迪牌小型汽车一辆,https://sf.taobao.com/sf_item/565590173244.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,250000,2018/3/27 10:05,16,"￥172,000","￥20,000","￥245,000","￥2,000",1天,5分钟,拍卖,无,温州市瓯海区人民法院,12,618,16558,27,
豫A-B7C37号传祺牌汽车,https://sf.taobao.com/sf_item/565761235394.htm,2018/3/26 10:00,2018/3/27 10:00,第二次拍卖,65700,2018/3/27 10:05,2,"￥61,200","￥6,200","￥80,000",￥500,1天,5分钟,拍卖,无,郑州市惠济区人民法院,5,67,3312,8,
浙G155JY,https://sf.taobao.com/sf_item/565416928544.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,22500,2018/3/27 10:04,1,"￥21,000","￥4,000","￥30,000",￥500,1天,5分钟,拍卖,无,浦江县人民法院,2,53,11809,3,
闽FL8255号东风日产天籁轿车,https://sf.taobao.com/sf_item/565432508549.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,75341,2018/3/27 10:04,2,"￥40,341","￥5,000","￥57,630","￥1,000",1天,5分钟,拍卖,无,武平县人民法院,14,337,11012,24,
粤VLV658号的小汽车一辆,https://sf.taobao.com/sf_item/565633867405.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,32600,2018/3/27 10:04,1,"￥25,600","￥2,000","￥32,000","￥1,000",1天,5分钟,拍卖,无,普宁市人民法院,9,203,11180,8,
车牌为苏E5065Y奔驰汽车一辆,https://sf.taobao.com/sf_item/565150772863.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,366300,2018/3/27 10:04,10,"￥330,000","￥60,000","￥462,800","￥3,300",1天,5分钟,拍卖,无,张家港市人民法院,3,290,33401,10,
浙DUA967明锐牌小型轿车一辆,https://sf.taobao.com/sf_item/565592613153.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,27941,2018/3/27 10:03,8,"￥20,441","￥2,000","￥29,201",￥500,1天,5分钟,拍卖,无,新昌县人民法院,10,130,6181,15,
浙JY936A号梅赛德斯奔驰牌小型汽车,https://sf.taobao.com/sf_item/565663430762.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,156000,2018/3/27 10:03,2,"￥136,000","￥25,000","￥170,000","￥2,000",1天,5分钟,拍卖,无,台州市椒江区人民法院,9,331,12379,10,
浙BP10S7本田奥德赛小型轿车一辆,https://sf.taobao.com/sf_item/565549850769.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,16300,2018/3/27 10:03,1,"￥7,000","￥1,400","￥10,000",￥300,1天,5分钟,拍卖,无,象山县人民法院,15,202,14715,17,
津FAP833思威牌汽车,https://sf.taobao.com/sf_item/565526589826.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,205000,2018/3/27 10:02,3,"￥160,000","￥10,000","￥160,000","￥3,000",1天,5分钟,拍卖,无,天津市东丽区人民法院,11,184,6385,15,
车牌号为浙BL7776的东风牌重型厢式货车一辆,https://sf.taobao.com/sf_item/565571698153.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,11500,2018/3/27 10:02,1,"￥8,500","￥1,600","￥12,000",￥500,1天,5分钟,拍卖,无,余姚市人民法院,3,38,2333,7,
浙E6139B小型汽车一辆,https://sf.taobao.com/sf_item/565328496616.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,62500,2018/3/27 10:02,1,"￥39,000","￥4,000","￥55,300",￥500,1天,5分钟,拍卖,无,长兴县人民法院,15,520,20381,19,
猪肝色五菱面包车,https://sf.taobao.com/sf_item/565608134179.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,37000,2018/3/27 10:01,2,"￥20,000","￥4,000","￥20,000",￥500,1天,5分钟,拍卖,无,荔浦县人民法院,25,291,10574,29,
苏EH6U78宝马汽车一辆,https://sf.taobao.com/sf_item/565602091952.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,187000,2018/3/27 10:01,1,"￥110,000","￥22,000","￥136,100","￥1,100",1天,5分钟,拍卖,无,张家港市人民法院,14,1162,51149,43,
车牌号为浙F269AZ长城牌CC6461RM01型小型普通客车一辆,https://sf.taobao.com/sf_item/565703351063.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,63000,2018/3/27 10:00,1,"￥41,000","￥8,000","￥58,000","￥1,000",1天,5分钟,拍卖,无,海宁市人民法院,11,301,11041,12,
粤YZ8866号宝马牌小型汽车,https://sf.taobao.com/sf_item/565764015176.htm,2018/3/26 10:00,2018/3/27 10:00,第二次拍卖,258480,2018/3/27 10:00,1,"￥256,480","￥25,000","￥320,600","￥2,000",1天,5分钟,拍卖,无,佛山市南海区人民法院,4,105,9859,2,
长安牌小型面包车,https://sf.taobao.com/sf_item/565167742392.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,1200,2018/3/27 10:00,0,￥700,￥50,,￥20,1天,5分钟,拍卖,无,内蒙古自治区锡林郭勒盟中级人民法院,11,67,6191,14,"￥1,000"
马祥名下的车号为宁AMU325号的福德牌轻型普通货车,https://sf.taobao.com/sf_item/565388745278.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,40045,2018/3/27 10:00,0,"￥40,045","￥4,000","￥40,045",￥700,1天,5分钟,拍卖,无,贺兰县人民法院,2,76,8146,1,
浙CV8G37奥迪牌小型汽车一辆,https://sf.taobao.com/sf_item/565475028402.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,176000,2018/3/27 10:00,0,"￥112,000","￥20,000","￥160,000","￥2,000",1天,5分钟,拍卖,无,温州市瓯海区人民法院,11,762,29567,30,
浙J8L235号丰田牌小型汽车,https://sf.taobao.com/sf_item/565476832726.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,85000,2018/3/27 10:00,0,"￥49,000","￥9,800","￥70,000","￥2,000",1天,5分钟,拍卖,无,台州市椒江区人民法院,10,465,13375,15,
浙DLF812东南牌小型普通客车一辆,https://sf.taobao.com/sf_item/565486592266.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,9870,2018/3/27 10:00,0,"￥9,870","￥1,000","￥14,100",￥300,1天,5分钟,拍卖,无,新昌县人民法院,3,24,3226,1,
浙EQ392福特轿车,https://sf.taobao.com/sf_item/565487157908.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,70000,2018/3/27 10:00,0,"￥42,000","￥5,000","￥60,000",￥500,1天,5分钟,拍卖,无,长兴县人民法院,8,358,9312,10,
粤Y92H05号江铃牌小型汽车,https://sf.taobao.com/sf_item/565491948364.htm,2018/3/26 10:00,2018/3/27 10:00,第二次拍卖,34496,2018/3/27 10:00,0,"￥34,496","￥3,500","￥53,900",￥500,1天,5分钟,拍卖,无,佛山市南海区人民法院,1,31,2670,1,
车牌号码为粤SRA999的车辆,https://sf.taobao.com/sf_item/565499536613.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,709000,2018/3/27 10:00,0,"￥465,000","￥93,000","￥662,363","￥2,000",1天,5分钟,拍卖,无,东莞市第二人民法院,2,346,31131,52,
车牌号为苏GSK175号汽车一辆,https://sf.taobao.com/sf_item/565546309298.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,39500,2018/3/27 10:00,0,"￥28,500","￥5,500","￥40,714","￥1,000",1天,5分钟,拍卖,无,杭州市余杭区人民法院,6,182,5343,9,
鲁Q5K255众泰牌小型普通客车,https://sf.taobao.com/sf_item/565554034270.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,15000,2018/3/27 10:00,0,"￥15,000","￥2,000","￥15,000",￥100,1天,5分钟,拍卖,无,临沂市河东区人民法院,2,13,2067,1,
浙GHJ599,https://sf.taobao.com/sf_item/565587677402.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,92500,2018/3/27 10:00,0,"￥52,500","￥10,000","￥75,000","￥5,000",1天,5分钟,拍卖,无,浦江县人民法院,10,384,19297,9,
车牌号为浙B306D8的东南牌小型汽车一辆,https://sf.taobao.com/sf_item/565601729853.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,24000,2018/3/27 10:00,0,"￥20,000","￥4,000","￥28,000","￥1,000",1天,5分钟,拍卖,无,宁波市镇海区人民法院,5,82,3459,5,
粤EHC382号保时捷牌小型越野客车,https://sf.taobao.com/sf_item/565604085102.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,213200,2018/3/27 10:00,0,"￥213,200","￥21,400","￥213,200","￥5,000",1天,5分钟,拍卖,无,佛山市南海区人民法院,2,200,19230,1,
苏JBS028号本田思域小型轿车,https://sf.taobao.com/sf_item/565658490692.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,34936,2018/3/27 10:00,0,"￥34,936","￥2,000","￥39,700","￥1,000",1天,5分钟,拍卖,无,建湖县人民法院,3,48,4006,1,
车牌号为浙E2660S起亚牌小型汽车一辆,https://sf.taobao.com/sf_item/565678638679.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,41000,2018/3/27 10:00,0,"￥37,000","￥7,000","￥52,000","￥2,000",1天,5分钟,拍卖,无,安吉县人民法院,5,152,7196,3,
川A8R796轻型箱式货车,https://sf.taobao.com/sf_item/565685726686.htm,2018/3/26 10:00,2018/3/27 10:00,第二次拍卖,5870,2018/3/27 10:00,0,"￥4,770",￥477,"￥5,298",￥50,1天,5分钟,拍卖,无,蒲江县人民法院,4,20,2818,10,
苏MU897M雪佛兰汽车一辆,https://sf.taobao.com/sf_item/565708959730.htm,2018/3/26 10:00,2018/3/27 10:00,第一次拍卖,78000,2018/3/27 10:00,0,"￥51,000","￥10,000","￥72,600","￥1,000",1天,5分钟,拍卖,无,靖江市人民法院,13,237,6950,18,
甘HA1100号福田车,https://sf.taobao.com/sf_item/565776364093.htm,2018/3/26 10:00,2018/3/27 10:00,第二次拍卖,25620,2018/3/27 10:00,0,"￥17,920","￥3,000","￥32,000",￥350,1天,5分钟,拍卖,无,武威市凉州区人民法院,4,58,2927,11,
"马自达3,2010款两厢2.0自动豪华型（红色）",https://sf.taobao.com/sf_item/565488733735.htm,2018/3/26 9:00,2018/3/27 9:00,第一次拍卖,58520.75,2018/3/27 9:46,23,"￥47,020.75","￥6,000","￥47,020.75",￥500,1天,5分钟,拍卖,无,涞水县人民法院,5,115,10388,24,
（破）鲁Q-VT209箱式运输车,https://sf.taobao.com/sf_item/566145301427.htm,2018/3/26 9:00,2018/3/27 9:00,再次拍卖,14153.04,2018/3/27 9:17,11,"￥11,753.04","￥1,100","￥18,364.13",￥200,1天,5分钟,拍卖,无,山东郯城酒厂管理人,2,8,2015,13,
?车牌号为冀FSA242锋范牌小型普通轿车,https://sf.taobao.com/sf_item/565364476777.htm,2018/3/26 9:00,2018/3/27 9:00,第一次拍卖,44000,2018/3/27 9:07,5,"￥33,000","￥3,000","￥46,100",￥500,1天,5分钟,拍卖,无,容城县人民法院,8,209,17014,19,
（破）鲁Q-VN209箱式运输车,https://sf.taobao.com/sf_item/566145233171.htm,2018/3/26 9:00,2018/3/27 9:00,再次拍卖,12380.84,2018/3/27 9:00,0,"￥12,380.84","￥1,200","￥19,345.06",￥200,1天,5分钟,拍卖,无,山东郯城酒厂管理人,2,11,2873,1,
（破）鲁Q-VF209箱式运输车,https://sf.taobao.com/sf_item/566308459730.htm,2018/3/26 9:00,2018/3/27 9:00,再次拍卖,9858.92,2018/3/27 9:00,0,"￥9,758.92","￥1,000","￥15,248.31",￥100,1天,5分钟,拍卖,无,山东郯城酒厂管理人,3,9,2085,2,
川A627RP宝马X6汽车,https://sf.taobao.com/sf_item/565655115421.htm,2018/3/25 10:00,2018/3/26 10:00,重新拍卖,756000,2018/3/26 11:56,87,"￥200,000","￥40,000","￥276,200","￥1,000",1天,5分钟,拍卖,无,成都铁路运输中级法院,44,880,31817,134,
川AV6V27玛莎拉蒂汽车,https://sf.taobao.com/sf_item/565584786180.htm,2018/3/25 10:00,2018/3/26 10:00,重新拍卖,870000,2018/3/26 11:11,69,"￥330,000","￥66,000","￥470,300","￥1,000",1天,5分钟,拍卖,无,成都铁路运输中级法院,25,962,49656,111,
川A8ND77奔驰汽车,https://sf.taobao.com/sf_item/565396332847.htm,2018/3/25 10:00,2018/3/26 10:00,重新拍卖,343000,2018/3/26 10:55,36,"￥111,000","￥22,000","￥158,600","￥1,000",1天,5分钟,拍卖,无,成都铁路运输中级法院,59,1328,40020,76,
豫J56868丰田牌汉兰达越野车,https://sf.taobao.com/sf_item/565474453460.htm,2018/3/25 10:00,2018/3/26 10:00,第一次拍卖,120800,2018/3/26 10:46,15,"￥80,000","￥8,000","￥100,000",￥800,1天,5分钟,拍卖,无,濮阳县人民法院,16,567,24243,27,
宝马牌5UXZV4C5小型越野客车,https://sf.taobao.com/sf_item/565659722546.htm,2018/3/25 10:00,2018/3/26 10:00,第一次拍卖,339480,2018/3/26 10:44,46,"￥200,480","￥20,000","￥286,400","￥1,000",1天,5分钟,拍卖,无,成都市温江区人民法院,19,362,16300,73,
川A627DG奔驰,https://sf.taobao.com/sf_item/565494033574.htm,2018/3/25 10:00,2018/3/26 10:00,重新拍卖,333000,2018/3/26 10:38,48,"￥136,000","￥27,000","￥194,000","￥1,000",1天,5分钟,拍卖,无,成都铁路运输中级法院,54,1063,34498,109,
牌号为粤BQ9K40的雅阁牌小型轿车,https://sf.taobao.com/sf_item/565449005573.htm,2018/3/25 10:00,2018/3/26 10:00,第一次拍卖,137393.7,2018/3/26 10:35,49,"￥39,893.7","￥3,900","￥56,991",￥500,1天,5分钟,拍卖,无,深圳市福田区人民法院,30,848,39211,106,
川A09G17捷豹汽车,https://sf.taobao.com/sf_item/565509633647.htm,2018/3/25 10:00,2018/3/26 10:00,重新拍卖,465000,2018/3/26 10:31,25,"￥151,000","￥30,000","￥215,500","￥1,000",1天,5分钟,拍卖,无,成都铁路运输中级法院,47,1273,35867,97,
川AJ8341奥迪A6汽车,https://sf.taobao.com/sf_item/565576222368.htm,2018/3/25 10:00,2018/3/26 10:00,重新拍卖,337000,2018/3/26 10:31,32,"￥126,000","￥12,000","￥180,000","￥1,000",1天,5分钟,拍卖,无,成都铁路运输中级法院,59,1497,38923,83,
牌照为浙C33386号的乘龙牌重型自卸货车一辆,https://sf.taobao.com/sf_item/565661110645.htm,2018/3/25 10:00,2018/3/26 10:00,第一次拍卖,142400,2018/3/26 10:28,26,"￥71,400","￥10,000","￥102,000","￥1,000",1天,5分钟,拍卖,无,杭州市拱墅区人民法院,17,75,4209,69,
车牌号为浙ARP192北京现代普通轿车,https://sf.taobao.com/sf_item/565384104010.htm,2018/3/25 10:00,2018/3/26 10:00,第一次拍卖,44500,2018/3/26 10:27,35,"￥25,000","￥5,000","￥8,096",￥500,1天,5分钟,拍卖,无,淳安县人民法院,10,25,8205,37,
川AQ237J奥迪A7汽车,https://sf.taobao.com/sf_item/565507505229.htm,2018/3/25 10:00,2018/3/26 10:00,重新拍卖,371000,2018/3/26 10:26,26,"￥242,000","￥48,000","￥345,200","￥1,000",1天,5分钟,拍卖,无,成都铁路运输中级法院,31,732,25678,67,
粤YEB683小型汽车,https://sf.taobao.com/sf_item/565682970943.htm,2018/3/25 10:00,2018/3/26 10:00,第一次拍卖,137286.48,2018/3/26 10:25,17,"￥93,286.48","￥18,657.29","￥133,266.4","￥1,000",1天,5分钟,拍卖,无,佛山市禅城区人民法院,12,275,14153,26,
牌照为浙C33368号的乘龙牌重型自卸货车一辆,https://sf.taobao.com/sf_item/565744063885.htm,2018/3/25 10:00,2018/3/26 10:00,第一次拍卖,147500,2018/3/26 10:25,23,"￥73,500","￥10,000","￥105,000","￥1,000",1天,5分钟,拍卖,无,杭州市拱墅区人民法院,15,79,3788,73,
川AQ8B08奔驰汽车,https://sf.taobao.com/sf_item/565506109990.htm,2018/3/25 10:00,2018/3/26 10:00,重新拍卖,312000,2018/3/26 10:23,20,"￥98,000","￥19,000","￥140,000","￥1,000",1天,5分钟,拍卖,无,成都铁路运输中级法院,37,1140,36255,59,
闽G7793G福田牌轻型自卸货车,https://sf.taobao.com/sf_item/565743415540.htm,2018/3/25 10:00,2018/3/26 10:00,第二次拍卖,44536,2018/3/26 10:22,16,"￥32,536","￥3,253","￥58,100",￥500,1天,5分钟,拍卖,无,永安市人民法院,3,28,2197,17,
牌照为浙C33370号的乘龙牌重型自卸货车一辆,https://sf.taobao.com/sf_item/565587117272.htm,2018/3/25 10:00,2018/3/26 10:00,第一次拍卖,144400,2018/3/26 10:21,31,"￥71,400","￥10,000","￥102,000","￥1,000",1天,5分钟,拍卖,无,杭州市拱墅区人民法院,18,145,6175,71,
北京牌粤KZ3233小型普通客车,https://sf.taobao.com/sf_item/565154088085.htm,2018/3/25 10:00,2018/3/26 10:00,第一次拍卖,30700,2018/3/26 10:21,14,"￥25,000","￥3,000","￥25,000",￥300,1天,5分钟,拍卖,无,信宜市人民法院,7,74,7061,20,
浙AZ3F22起亚牌YQZ7162的小型轿车一辆,https://sf.taobao.com/sf_item/565604121154.htm,2018/3/25 10:00,2018/3/26 10:00,第一次拍卖,44000,2018/3/26 10:21,20,"￥25,000","￥5,000","￥4,113",￥500,1天,5分钟,拍卖,无,建德市人民法院,7,19,2759,21,
川A199DX奔驰汽车,https://sf.taobao.com/sf_item/565380184572.htm,2018/3/25 10:00,2018/3/26 10:00,重新拍卖,197000,2018/3/26 10:21,36,"￥50,000","￥9,000","￥70,900","￥1,000",1天,5分钟,拍卖,无,成都铁路运输中级法院,64,1953,79647,85,
豫RFU115号梅赛德斯奔驰轿车一辆,https://sf.taobao.com/sf_item/565114658767.htm,2018/3/25 10:00,2018/3/26 10:00,第一次拍卖,326400,2018/3/26 10:20,13,"￥270,400","￥50,000","￥338,000","￥2,000",1天,5分钟,拍卖,无,郑州市金水区人民法院,8,360,23301,19,
鲁LGY710本田小型普通客车,https://sf.taobao.com/sf_item/565548294555.htm,2018/3/25 10:00,2018/3/26 10:00,第一次拍卖,52924,2018/3/26 10:19,9,"￥44,424","￥5,000","￥44,424",￥500,1天,5分钟,拍卖,无,日照市岚山区人民法院,6,147,9584,15,
豫AF7V07福克斯牌小型轿车一辆,https://sf.taobao.com/sf_item/565447633838.htm,2018/3/25 10:00,2018/3/26 10:00,第一次拍卖,60658.4,2018/3/26 10:18,10,"￥46,258.4","￥9,000","￥57,823",￥900,1天,5分钟,拍卖,无,新郑市人民法院,7,189,7837,17,
牌照为浙C33350号的乘龙牌重型自卸货车一辆,https://sf.taobao.com/sf_item/565662014733.htm,2018/3/25 10:00,2018/3/26 10:00,第一次拍卖,138800,2018/3/26 10:18,28,"￥72,800","￥10,000","￥104,000","￥1,000",1天,5分钟,拍卖,无,杭州市拱墅区人民法院,15,91,3889,65,
川AU7E31奥迪Q5汽车,https://sf.taobao.com/sf_item/565668207014.htm,2018/3/25 10:00,2018/3/26 10:00,重新拍卖,230000,2018/3/26 10:17,29,"￥135,000","￥26,000","￥191,700","￥1,000",1天,5分钟,拍卖,无,成都铁路运输中级法院,31,817,22653,75,
川A999DW大众辉腾汽车,https://sf.taobao.com/sf_item/565384000158.htm,2018/3/25 10:00,2018/3/26 10:00,重新拍卖,429000,2018/3/26 10:16,42,"￥140,000","￥28,000","￥191,200","￥1,000",1天,5分钟,拍卖,无,成都铁路运输中级法院,29,981,36274,120,
牌照为鲁VD8130重型半挂牵引车、鲁VR082重型厢式半挂车,https://sf.taobao.com/sf_item/564903316586.htm,2018/3/25 10:00,2018/3/26 10:00,第一次拍卖,29000,2018/3/26 10:14,29,"￥20,000","￥4,000","￥23,012",￥200,1天,5分钟,拍卖,无,青州市人民法院,10,131,6824,37,
